unit,s_adj,nace_r2,indic,geo,TIME_PERIOD,OBS_VALUE
I20,SCA,B,LM-LCI-TOT,LU,2022-Q2,107.1
I20,SCA,B,LM-LCI-TOT,LU,2022-Q3,103.1
I20,SCA,B,LM-LCI-TOT,LU,2022-Q4,102.6
I20,SCA,B,LM-LCI-TOT,LU,2023-Q1,105.7
I20,SCA,B,LM-LCI-TOT,LU,2023-Q2,106.5
I20,SCA,B,LM-LCI-TOT,LU,2023-Q3,111.7
I20,SCA,B,LM-LCI-TOT,LU,2023-Q4,111.1
I20,SCA,B,LM-LCI-TOT,LU,2024-Q1,112.2
I20,SCA,B,LM-LCI-TOT,LV,2021-Q1,90.3
I20,SCA,B,LM-LCI-TOT,LV,2021-Q2,94.9
I20,SCA,B,LM-LCI-TOT,LV,2021-Q3,101.4
I20,SCA,B,LM-LCI-TOT,LV,2021-Q4,97.7
I20,SCA,B,LM-LCI-TOT,LV,2022-Q1,105.3
I20,SCA,B,LM-LCI-TOT,LV,2022-Q2,103.8
I20,SCA,B,LM-LCI-TOT,LV,2022-Q3,114.3
I20,SCA,B,LM-LCI-TOT,LV,2022-Q4,108.1
I20,SCA,B,LM-LCI-TOT,LV,2023-Q1,113.9
I20,SCA,B,LM-LCI-TOT,LV,2023-Q2,125.2
I20,SCA,B,LM-LCI-TOT,LV,2023-Q3,127.3
I20,SCA,B,LM-LCI-TOT,LV,2023-Q4,123.1
I20,SCA,B,LM-LCI-TOT,LV,2024-Q1,127.4
I20,SCA,B,LM-LCI-TOT,MT,2021-Q1,98.3
I20,SCA,B,LM-LCI-TOT,MT,2021-Q2,98.7
I20,SCA,B,LM-LCI-TOT,MT,2021-Q3,96.8
I20,SCA,B,LM-LCI-TOT,MT,2021-Q4,97.5
I20,SCA,B,LM-LCI-TOT,MT,2022-Q1,95.3
I20,SCA,B,LM-LCI-TOT,MT,2022-Q2,96.4
I20,SCA,B,LM-LCI-TOT,MT,2022-Q3,96.2
I20,SCA,B,LM-LCI-TOT,MT,2022-Q4,100.3
I20,SCA,B,LM-LCI-TOT,MT,2023-Q1,103.7
I20,SCA,B,LM-LCI-TOT,MT,2023-Q2,99.7
I20,SCA,B,LM-LCI-TOT,MT,2023-Q3,99.3
I20,SCA,B,LM-LCI-TOT,MT,2023-Q4,99.5
I20,SCA,B,LM-LCI-TOT,MT,2024-Q1,101.7
I20,SCA,B,LM-LCI-TOT,NL,2021-Q1,94.5
I20,SCA,B,LM-LCI-TOT,NL,2021-Q2,95.4
I20,SCA,B,LM-LCI-TOT,NL,2021-Q3,98.4
I20,SCA,B,LM-LCI-TOT,NL,2021-Q4,94.8
I20,SCA,B,LM-LCI-TOT,NL,2022-Q1,105.7
I20,SCA,B,LM-LCI-TOT,NL,2022-Q2,101.6
I20,SCA,B,LM-LCI-TOT,NL,2022-Q3,111.9
I20,SCA,B,LM-LCI-TOT,NL,2022-Q4,112.3
I20,SCA,B,LM-LCI-TOT,NL,2023-Q1,112.4
I20,SCA,B,LM-LCI-TOT,NL,2023-Q2,113.0
I20,SCA,B,LM-LCI-TOT,NL,2023-Q3,113.5
I20,SCA,B,LM-LCI-TOT,NL,2023-Q4,117.7
I20,SCA,B,LM-LCI-TOT,NL,2024-Q1,
I20,SCA,B,LM-LCI-TOT,NO,2021-Q1,100.4
I20,SCA,B,LM-LCI-TOT,NO,2021-Q2,102.2
I20,SCA,B,LM-LCI-TOT,NO,2021-Q3,100.7
I20,SCA,B,LM-LCI-TOT,NO,2021-Q4,99.7
I20,SCA,B,LM-LCI-TOT,NO,2022-Q1,112.6
I20,SCA,B,LM-LCI-TOT,NO,2022-Q2,104.5
I20,SCA,B,LM-LCI-TOT,NO,2022-Q3,105.5
I20,SCA,B,LM-LCI-TOT,NO,2022-Q4,106.7
I20,SCA,B,LM-LCI-TOT,NO,2023-Q1,114.2
I20,SCA,B,LM-LCI-TOT,NO,2023-Q2,114.0
I20,SCA,B,LM-LCI-TOT,NO,2023-Q3,117.7
I20,SCA,B,LM-LCI-TOT,NO,2023-Q4,118.7
I20,SCA,B,LM-LCI-TOT,NO,2024-Q1,118.7
I20,SCA,B,LM-LCI-TOT,PL,2021-Q1,100.0
I20,SCA,B,LM-LCI-TOT,PL,2021-Q2,107.7
I20,SCA,B,LM-LCI-TOT,PL,2021-Q3,106.0
I20,SCA,B,LM-LCI-TOT,PL,2021-Q4,107.6
I20,SCA,B,LM-LCI-TOT,PL,2022-Q1,120.4
I20,SCA,B,LM-LCI-TOT,PL,2022-Q2,117.6
I20,SCA,B,LM-LCI-TOT,PL,2022-Q3,129.4
I20,SCA,B,LM-LCI-TOT,PL,2022-Q4,134.7
I20,SCA,B,LM-LCI-TOT,PL,2023-Q1,135.3
